epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.296,1.13502,1.42086,1.26807,0.71037,0.57318,0.63275,0.45122,1.12144,1.17701,1.16721,3.52773e-05,3.52773e-05,3.52773e-05
2,281.546,1.11374,1.34252,1.25804,0.72005,0.57176,0.63856,0.45665,1.1167,1.16397,1.16427,6.36202e-05,6.36202e-05,6.36202e-05
3,415.255,1.10963,1.32682,1.25558,0.70734,0.58001,0.64222,0.45835,1.11879,1.15875,1.16636,8.49671e-05,8.49671e-05,8.49671e-05
4,550.75,1.10713,1.31153,1.25455,0.72611,0.58155,0.64832,0.46538,1.10556,1.14242,1.16023,7.4518e-05,7.4518e-05,7.4518e-05
5,687.291,1.10299,1.29779,1.24908,0.73634,0.58331,0.65358,0.46954,1.10665,1.13159,1.15856,6.4024e-05,6.4024e-05,6.4024e-05
6,821.923,1.09639,1.28386,1.24818,0.73701,0.58715,0.65639,0.47168,1.10737,1.12199,1.15548,5.353e-05,5.353e-05,5.353e-05
7,958.21,1.09609,1.27778,1.24439,0.74328,0.58732,0.6595,0.47488,1.10038,1.11537,1.15372,4.3036e-05,4.3036e-05,4.3036e-05
8,1093.54,1.09069,1.2667,1.244,0.74136,0.59001,0.66137,0.4774,1.09655,1.10669,1.15064,3.2542e-05,3.2542e-05,3.2542e-05
9,1230.24,1.08532,1.26023,1.24093,0.7426,0.5933,0.66339,0.47945,1.09321,1.10076,1.14866,2.2048e-05,2.2048e-05,2.2048e-05
10,1365.31,1.08502,1.25633,1.24064,0.74332,0.59461,0.66456,0.48092,1.09156,1.09645,1.14795,1.1554e-05,1.1554e-05,1.1554e-05
